state,mcmc_missed_mean,mcmc_missed_ci_low,mcmc_missed_ci_high,state_ut,stunting_pct,underweight_pct,wasting_pct,anemia_pct,male_tobacco_pct,female_tobacco_pct,male_alcohol_pct,sanitation_pct,cleanfuel_pct,dm_known_pct,dm_treated_pct,tob_known_pct,tob_linkage_pct,alc_known_pct,alc_linkage_pct,system_pc1,system_pc2,system_pc3,risk_pc1,risk_pc2,risk_pc3,system_weighted,stunting_pct_z,underweight_pct_z,wasting_pct_z,anemia_pct_z,male_tobacco_pct_z,female_tobacco_pct_z,male_alcohol_pct_z,sanitation_pct_z,cleanfuel_pct_z,risk_weighted,system_weighted_z,risk_weighted_z
Puducherry,77861.98428494741,53260.98853074383,101272.39813031437,Puducherry,28.8975,21.0225,11.6475,52.06,14.12,2.2575000000000003,25.4275,88.17,91.4075,0.99,0.9590000000000001,0.97,0.982,0.9620000000000001,0.9840000000000001,3.9163606551383836,2.008805921197249,0.6138328144039009,-1.583661335895875,-1.4818887842590915,-0.27732519903337555,0.97575,-0.48938040709407843,-0.6218122112375764,-1.1121649932470048,-0.7346011264747678,-1.5518453522836828,-0.7547201435054743,-0.05821836873603945,0.8895609381865309,1.527965141988772,-1.9691548404560262,2.1707896328848095,-1.4990600571365824
Punjab,24273.611321154298,4208.979214878611,78921.33936138611,Punjab,25.388181818181817,17.657727272727275,10.803181818181818,69.69636363636363,13.336363636363636,0.3613636363636364,23.65909090909091,86.49681818181818,74.72272727272728,0.915,0.46,0.8490000000000001,0.16399999999999998,0.828,0.17800000000000002,-0.9719611129967797,-0.7330394981116433,-1.0679489946561869,-1.6833095447979523,-2.037847223028911,0.2377274453050587,0.6717000000000001,-1.1327279018133032,-1.048192483163512,-1.3005142788233448,0.7039914577357407,-1.6011826711383534,-0.8812341742215453,-0.2107878922789612,0.7651156948161859,0.7634775338484403,-1.545817749147067,-0.6401963985536524,-1.176785896035733
Rajasthan,220526.59440682238,64336.76769146626,338059.4689795868,Rajasthan,31.734848484848484,28.39636363636364,18.03757575757576,72.19909090909091,43.22575757575758,7.376969696969697,11.453939393939397,68.57242424242423,38.30181818181818,0.9009999999999999,0.653,0.8059999999999999,0.345,0.78,0.33299999999999996,-0.5082487849117666,-0.013664677003596706,0.12936294820220898,1.0052657857691805,-0.5951564900926527,-0.6734401642945297,0.7142499999999999,0.030777909934591993,0.31259561872777264,0.3133239155980982,0.9081381270311815,0.2806372999484408,-0.41313883167919585,-1.2637875409510715,-0.5680362327356758,-0.9053095771496741,0.760750976172649,-0.24681552160017034,0.5791374951215008
Sikkim,56450.79196983183,32652.381539189097,68247.12211770995,Sikkim,24.8725,13.6725,11.9575,56.69,41.3725,11.4275,42.1025,87.3675,72.4625,0.975,0.898,0.708,0.065,0.73,0.081,-1.0178410166637053,-2.099759588652316,0.955931340212943,-2.3901606060850686,0.23738859895476494,1.108663943666485,0.6929,-1.227265526676843,-1.5531960676431669,-1.0430106391349925,-0.35693349599105045,0.16395721186435244,-0.14287930551769668,1.3804175318351193,0.8298738756572338,0.6599150958203578,-1.1418816702051213,-0.44419934587647725,-0.8692811589079965
Tamil Nadu,3698.4722434869454,0.0,23829.49115305363,Tamil Nadu,25.3128125,22.245625,14.8434375,57.436875,20.825,5.3528125,26.0003125,71.571875,79.495625,0.966,0.948,0.912,0.23600000000000002,0.866,0.225,0.8644873055215041,-1.6864391802341319,0.6508284120150513,-1.2572279422620243,-1.290923923970749,0.06741473161220776,0.7904,-1.1465450194181384,-0.46681916642586374,-0.3992198526184222,-0.2960111392918004,-1.129702202385047,-0.5481946698049244,-0.008798960832236236,-0.3449478776939636,0.9821692251926581,-0.8893665324316947,0.4572021935586492,-0.6770487609870581
Telangana,14209.557012301739,0.0,46031.38047984091,Telangana,33.16548387096775,32.76387096774194,22.126129032258063,70.19225806451612,24.063870967741934,6.311290322580645,45.49870967741936,74.61806451612902,90.3648387096774,0.937,0.828,0.935,0.529,0.924,0.535,1.7014593610016455,0.22935778443976287,0.2583160211945166,1.133542548476541,-0.6233986921768457,2.0588080540635008,0.8373,0.293049851044144,0.8660413086840733,1.2253924993503862,0.7444414088481449,-0.9257846494487569,-0.48424310228470163,1.673425577880258,-0.11838326196152321,1.4801909439838867,-0.19628628471496062,0.8907994468869309,-0.14942701464339592
Tripura,43908.317231851266,32036.625510800783,63826.70179505697,Tripura,32.975,26.1625,18.9075,65.855,57.80125,51.23125,33.01,71.60875,40.705,0.9440000000000001,0.385,0.68,0.092,0.67,0.145,-2.413910560880703,-0.6841247710700821,-0.9668920691840683,0.3915112960943863,2.592452318273746,0.2985443240097665,0.60115,0.25812930100498294,0.029522893786197203,0.5073853643440023,0.39065264512844744,1.198302368299433,2.512906927312838,0.5959619440724049,-0.34220524787369255,-0.7951970362035762,1.3533956340312496,-1.2924413073449166,1.0303005608281377
Uttar Pradesh,15104.334086790328,0.0,75204.26432425203,Uttar Pradesh,39.6256,32.3128,17.687466666666666,66.39479999999999,45.2372,8.690933333333334,14.3244,68.976,47.071866666666665,0.9159999999999999,0.38,0.718,0.233,0.649,0.281,-2.077230512054769,0.1892176333873201,-0.8009009413210161,1.7499921772383449,0.0009110807273800712,-0.830112862035911,0.62415,1.4773538416999221,0.8088820954258304,0.23522208317692947,0.4346839598012564,0.40727661997967796,-0.3254685358931332,-1.0161385047259421,-0.5380197199908368,-0.5034705171247618,0.8095753413384479,-1.0798029954781685,0.6163060580660735
Uttarakhand,8078.044630319028,0.0,34454.9398121141,Uttarakhand,27.27846153846154,19.166153846153847,12.460769230769232,56.47384615384616,37.49846153846154,4.4569230769230765,30.81615384615385,82.2976923076923,48.47,0.961,0.385,0.951,0.321,0.932,0.36,0.4589042713453774,-0.17282480046690127,-1.9860195145337791,-1.5349569568551982,-0.4134083809508936,0.2680511065137253,0.7441500000000001,-0.786191435367719,-0.8570463390733473,-0.9307420630114577,-0.37456509661672255,-0.07995014070571638,-0.6079702134646595,0.40668783089381255,0.452799821149715,-0.43940877500021175,-0.46809230269558155,0.02961428382660307,-0.35634499614135495
West Bengal,2402.6290461088465,0.0,12197.970091400683,West Bengal,33.175,32.695,21.33,69.777,48.117,12.105,18.6885,67.1225,39.291,0.9259999999999999,0.765,0.863,0.341,0.8390000000000001,0.355,0.33714010376380177,-0.40910012791960637,0.2557507047989514,1.6501155358942403,0.049543770757174116,-0.18137954926732552,0.7605999999999999,0.2947944001146847,0.8573140559589209,1.0477931799451339,0.710568940324374,0.5885872602597809,-0.09767514327814167,-0.6396257051047971,-0.6758763809229899,-0.8599857807420898,1.1624677934353906,0.18169690253129736,0.8849527731618766
