stateut,2020,2021,2022,2023,source_file,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,source_file_rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,source_file_rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,tb_cases_notification_in_2024_january_to_october,tb_deaths__2024_january_to_october,source_file_rs_RS_Session_266_AU_2511_1_clean.csv,2023__tb_patients_notified,2023__treated_successfully,2024__tb_patients_notified,source_file_rs_RS_Session_267_AU_3467_1_clean.csv,state_ut,Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who consume alcohol (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%)
Odisha,45628,52381,60372,25939,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,4,24,27,27,18,4,24,27,26,19,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.7,1.8,3.5,5.6,8.8,1.2,1.7,3.2,5.2,7.8,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,48917,2064,rs_RS_Session_266_AU_2511_1_clean.csv,60766,56259,59483,rs_RS_Session_267_AU_3467_1_clean.csv,Odisha,31.645333333333333,30.243999999999996,18.464333333333332,64.65066666666667,51.3,25.421333333333333,29.663333333333334,59.641666666666666,32.33266666666667
Puducherry,2762,3444,3835,652,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,2,16,25,33,24,3,17,25,31,24,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,2.6,6.0,9.0,14.8,5.3,3.0,4.4,10.3,11.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2843,90,rs_RS_Session_266_AU_2511_1_clean.csv,1507,1156,1355,rs_RS_Session_267_AU_3467_1_clean.csv,Puducherry,28.8975,21.022499999999997,11.6475,52.06,14.120000000000001,2.2575000000000003,25.4275,88.17,91.4075
Punjab,46198,50142,55150,24800,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,33,24,19,19,5,34,24,19,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.1,1.8,3.3,6.2,12.1,1.4,1.5,3.4,5.9,10.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,49739,2049,rs_RS_Session_266_AU_2511_1_clean.csv,56264,46305,60456,rs_RS_Session_267_AU_3467_1_clean.csv,Punjab,25.388181818181817,17.657727272727275,10.803181818181818,69.69636363636363,13.336363636363636,0.3613636363636364,23.65909090909091,86.49681818181818,74.72272727272728
Rajasthan,137343,149225,169522,69222,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,28,26,21,20,5,28,26,21,20,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.0,1.1,2.1,3.7,6.3,1.0,0.9,2.0,3.1,5.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,145405,3341,rs_RS_Session_266_AU_2511_1_clean.csv,159302,141911,168059,rs_RS_Session_267_AU_3467_1_clean.csv,Rajasthan,31.734848484848484,28.39636363636364,18.03757575757576,72.19909090909091,43.22575757575758,7.376969696969697,11.453939393939395,68.57242424242423,38.301818181818184
Sikkim,1326,1373,1395,615,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,4,38,27,15,16,3,35,30,18,14,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.2,1.9,2.4,3.8,9.8,0.0,1.0,1.6,3.8,12.2,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,1122,33,rs_RS_Session_266_AU_2511_1_clean.csv,1189,973,1169,rs_RS_Session_267_AU_3467_1_clean.csv,Sikkim,24.8725,13.672500000000001,11.9575,56.69,41.3725,11.4275,42.1025,87.3675,72.4625
Tamil Nadu,70304,82823,93879,40923,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,16,23,33,25,3,16,23,33,25,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.1,1.5,4.1,6.3,10.5,1.2,1.6,4.1,6.0,9.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,77820,4112,rs_RS_Session_266_AU_2511_1_clean.csv,92945,82468,91318,rs_RS_Session_267_AU_3467_1_clean.csv,Tamil Nadu,25.3128125,22.245625,14.8434375,57.436875,20.825,5.3528125,26.0003125,71.571875,79.495625
Telangana,63209,60714,72941,31094,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,22,26,28,21,3,23,26,27,21,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.2,0.8,2.0,2.5,4.4,0.7,0.6,1.5,1.7,3.2,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,62722,1004,rs_RS_Session_266_AU_2511_1_clean.csv,72100,66459,74711,rs_RS_Session_267_AU_3467_1_clean.csv,Telangana,33.16548387096775,32.76387096774194,22.126129032258063,70.19225806451612,24.063870967741938,6.311290322580645,45.498709677419356,74.61806451612902,90.36483870967741
Tripura,2071,2543,3024,1467,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,2,17,27,31,23,2,18,24,31,25,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.0,1.8,2.5,6.7,10.9,0.0,1.5,3.1,6.4,9.8,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2760,151,rs_RS_Session_266_AU_2511_1_clean.csv,3425,2758,3422,rs_RS_Session_267_AU_3467_1_clean.csv,Tripura,32.975,26.162499999999998,18.9075,65.855,57.801249999999996,51.23125,33.01,71.60875,40.705
Uttar Pradesh,366641,453712,522850,253988,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,34,24,20,16,7,34,23,20,16,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.2,1.2,2.3,4.2,7.5,1.0,1.1,2.2,4.3,6.8,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,563573,14229,rs_RS_Session_266_AU_2511_1_clean.csv,613851,566490,670590,rs_RS_Session_267_AU_3467_1_clean.csv,Uttar Pradesh,39.6256,32.3128,17.687466666666666,66.39479999999999,45.2372,8.690933333333334,14.324399999999999,68.976,47.071866666666665
Uttarakhand,20000,22789,27553,10976,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,32,23,20,20,5,33,23,20,19,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.8,1.1,2.3,4.6,9.0,1.2,1.2,2.4,4.7,9.4,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,24984,791,rs_RS_Session_266_AU_2511_1_clean.csv,25674,23113,28382,rs_RS_Session_267_AU_3467_1_clean.csv,Uttarakhand,27.27846153846154,19.166153846153847,12.460769230769232,56.473846153846154,37.49846153846154,4.4569230769230765,30.816153846153846,82.2976923076923,48.47
West Bengal,79039,90487,100972,44210,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,27,26,25,19,3,27,26,25,19,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.5,1.5,3.5,7.4,11.6,3.0,1.7,3.5,6.6,11.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,83962,4269,rs_RS_Session_266_AU_2511_1_clean.csv,97535,84928,97332,rs_RS_Session_267_AU_3467_1_clean.csv,West Bengal,33.175,32.695,21.330000000000002,69.777,48.117000000000004,12.105,18.688499999999998,67.1225,39.291
